GO:0008156	GO:0045740
GO:0045963	GO:0045964
GO:0060160	GO:0060161
GO:0033602	GO:0033603
GO:0051585	GO:0051586
GO:0050947	GO:0050949
GO:0045997	GO:0045998
GO:0045965	GO:0045966
GO:0045999	GO:0046000
GO:0045804	GO:0045805
GO:0051545	GO:0051544
GO:0045692	GO:0045693
GO:0045695	GO:0045696
GO:0045992	GO:0040019
GO:0051422	GO:0051423
GO:0045806	GO:0045807
GO:0032078	GO:0032079
GO:0045602	GO:0045603
GO:0001937	GO:0001938
GO:0043310	GO:0043311
GO:0045644	GO:0045645
GO:0045605	GO:0045606
GO:0007175	GO:0045741
GO:0042059	GO:0045742
GO:0045683	GO:0045684
GO:0032811	GO:0032812
GO:0051627	GO:0051628
GO:0030857	GO:0030858
GO:0050680	GO:0050679
GO:0034119	GO:0034120
GO:0034107	GO:0034108
GO:0045647	GO:0045648
GO:0048779	GO:0048780
GO:0045808	GO:0045809
GO:0033147	GO:0033148
GO:0010366	GO:0010365
GO:0001100	GO:0031536
GO:0001929	GO:0001930
GO:0045920	GO:0045921
GO:0051889	GO:0051888
GO:0033696	GO:0033697
GO:0014726	GO:0014727
GO:0033086	GO:0033090
GO:0042480	GO:0042479
GO:0048074	GO:0048075
GO:0045221	GO:0045220
GO:0031447	GO:0031450
GO:0031447	GO:0031448
GO:0045599	GO:0045600
GO:0031999	GO:0032000
GO:0045717	GO:0045723
GO:0045922	GO:0045923
GO:0046322	GO:0046321
GO:0048090	GO:0048091
GO:0045434	GO:0046009
GO:0007621	GO:0045925
GO:0031621	GO:0031622
GO:0051918	GO:0051919
GO:0040037	GO:0045743
GO:0048147	GO:0048146
GO:0051490	GO:0051491
GO:0045718	GO:0045724
GO:0009964	GO:0009963
GO:0009910	GO:0009911
GO:0051895	GO:0051894
GO:0050753	GO:0050754
GO:0032684	GO:0032724
GO:0045744	GO:0045745
GO:0014053	GO:0014054
GO:0051949	GO:0051950
GO:0046644	GO:0046645
GO:0045587	GO:0045588
GO:0046647	GO:0046648
GO:0045814	GO:0045815
GO:0032582	GO:0043193
GO:0002635	GO:0002636
GO:0009938	GO:0009939
