NCBITaxon:190409	NCBITaxon:169494
NCBITaxon:696252	NCBITaxon:283965
NCBITaxon:203279	NCBITaxon:43645
NCBITaxon:66002	NCBITaxon:503067
NCBITaxon:46684	NCBITaxon:360700
NCBITaxon:479252	NCBITaxon:55025
NCBITaxon:50680	NCBITaxon:433505
NCBITaxon:56267	NCBITaxon:88716
NCBITaxon:260290	NCBITaxon:177887
NCBITaxon:266096	NCBITaxon:5147
NCBITaxon:347273	NCBITaxon:295612
NCBITaxon:487650	NCBITaxon:127279
NCBITaxon:350939	NCBITaxon:484233
NCBITaxon:571820	NCBITaxon:7693
NCBITaxon:23235	NCBITaxon:58374
NCBITaxon:66004	NCBITaxon:339829
NCBITaxon:418312	NCBITaxon:418357
NCBITaxon:94331	NCBITaxon:48059
NCBITaxon:875692	NCBITaxon:274073
NCBITaxon:192423	NCBITaxon:86523
NCBITaxon:37344	NCBITaxon:34761
NCBITaxon:5310	NCBITaxon:54622
NCBITaxon:80629	NCBITaxon:94599
NCBITaxon:467938	NCBITaxon:364710
NCBITaxon:406821	NCBITaxon:126966
NCBITaxon:341969	NCBITaxon:433556
NCBITaxon:571818	NCBITaxon:869205
NCBITaxon:457780	NCBITaxon:272357
NCBITaxon:241604	NCBITaxon:5811
NCBITaxon:255626	NCBITaxon:239264
NCBITaxon:201541	NCBITaxon:158454
NCBITaxon:177849	NCBITaxon:144281
NCBITaxon:239344	NCBITaxon:211181
NCBITaxon:371483	NCBITaxon:96847
NCBITaxon:988073	NCBITaxon:4733
NCBITaxon:1007406	NCBITaxon:179666
NCBITaxon:366030	NCBITaxon:53314
NCBITaxon:706013	NCBITaxon:572909
NCBITaxon:988077	NCBITaxon:148730
NCBITaxon:169230	NCBITaxon:75441
NCBITaxon:253978	NCBITaxon:309409
NCBITaxon:58283	NCBITaxon:309408
NCBITaxon:493696	NCBITaxon:633632
NCBITaxon:705755	NCBITaxon:743422
NCBITaxon:576525	NCBITaxon:325698
NCBITaxon:127308	NCBITaxon:432341
NCBITaxon:647525	NCBITaxon:647526
NCBITaxon:206805	NCBITaxon:416049
NCBITaxon:419709	NCBITaxon:715603
NCBITaxon:419709	NCBITaxon:48244
NCBITaxon:419709	NCBITaxon:43575
NCBITaxon:48032	NCBITaxon:418816
NCBITaxon:13403	NCBITaxon:86298
NCBITaxon:51728	NCBITaxon:73030
NCBITaxon:61744	NCBITaxon:6647
NCBITaxon:58222	NCBITaxon:213822
NCBITaxon:79339	NCBITaxon:162018
NCBITaxon:57386	NCBITaxon:67862
NCBITaxon:507643	NCBITaxon:507645
NCBITaxon:51515	NCBITaxon:2242
NCBITaxon:30064	NCBITaxon:177435
NCBITaxon:63959	NCBITaxon:695675
NCBITaxon:688989	NCBITaxon:130620
NCBITaxon:59508	NCBITaxon:912
NCBITaxon:65718	NCBITaxon:284379
NCBITaxon:427926	NCBITaxon:279810
NCBITaxon:472569	NCBITaxon:49535
NCBITaxon:350898	NCBITaxon:59330
