decreased permeability	http://purl.obolibrary.org/obo/PATO_0001578	increased permeability	http://purl.obolibrary.org/obo/PATO_0001577
decreased phosphorylation	http://purl.obolibrary.org/obo/PATO_0002222	increased phosphorylation	http://purl.obolibrary.org/obo/PATO_0002221
decreased photosensitivity	http://purl.obolibrary.org/obo/PATO_0001697	increased photosensitivity	http://purl.obolibrary.org/obo/PATO_0001698
decreased pigmentation	http://purl.obolibrary.org/obo/PATO_0002251	increased pigmentation	http://purl.obolibrary.org/obo/PATO_0002250
decreased porosity	http://purl.obolibrary.org/obo/PATO_0015025	increased porosity	http://purl.obolibrary.org/obo/PATO_0015024
decreased position	http://purl.obolibrary.org/obo/PATO_0001476	increased position	http://purl.obolibrary.org/obo/PATO_0001475
decreased pressure	http://purl.obolibrary.org/obo/PATO_0001575	increased pressure	http://purl.obolibrary.org/obo/PATO_0001576
decreased process quality	http://purl.obolibrary.org/obo/PATO_0002302	increased process quality	http://purl.obolibrary.org/obo/PATO_0002304
decreased quality	http://purl.obolibrary.org/obo/PATO_0002301	increased quality	http://purl.obolibrary.org/obo/PATO_0002300
decreased radioactivity	http://purl.obolibrary.org/obo/PATO_0001743	increased radioactivity	http://purl.obolibrary.org/obo/PATO_0001742
decreased radiopacity	http://purl.obolibrary.org/obo/PATO_0002145	increased radiopacity	http://purl.obolibrary.org/obo/PATO_0002144
decreased rate	http://purl.obolibrary.org/obo/PATO_0000911	increased rate	http://purl.obolibrary.org/obo/PATO_0000912
decreased resistance to	http://purl.obolibrary.org/obo/PATO_0001651	increased resistance to	http://purl.obolibrary.org/obo/PATO_0001650
decreased sensitivity of a process	http://purl.obolibrary.org/obo/PATO_0001552	increased sensitivity of a process	http://purl.obolibrary.org/obo/PATO_0001551
decreased sensitivity of a process to oxygen	http://purl.obolibrary.org/obo/PATO_0001554	increased sensitivity of a process to oxygen	http://purl.obolibrary.org/obo/PATO_0001553
decreased sensitivity to irradiation	http://purl.obolibrary.org/obo/PATO_0001807	increased sensitivity to irradiation	http://purl.obolibrary.org/obo/PATO_0001808
decreased sensitivity toward	http://purl.obolibrary.org/obo/PATO_0001550	increased sensitivity toward	http://purl.obolibrary.org/obo/PATO_0001549
decreased size	http://purl.obolibrary.org/obo/PATO_0000587	increased size	http://purl.obolibrary.org/obo/PATO_0000586
decreased solubility	http://purl.obolibrary.org/obo/PATO_0001664	increased solubility	http://purl.obolibrary.org/obo/PATO_0001663
decreased speed	http://purl.obolibrary.org/obo/PATO_0000304	increased speed	http://purl.obolibrary.org/obo/PATO_0000303
decreased stability	http://purl.obolibrary.org/obo/PATO_0015028	increased stability	http://purl.obolibrary.org/obo/PATO_0015027
decreased strength	http://purl.obolibrary.org/obo/PATO_0001779	increased strength	http://purl.obolibrary.org/obo/PATO_0001778
decreased susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001670	increased susceptibility toward	http://purl.obolibrary.org/obo/PATO_0001669
decreased temperature	http://purl.obolibrary.org/obo/PATO_0001306	increased temperature	http://purl.obolibrary.org/obo/PATO_0001305
decreased tendency	http://purl.obolibrary.org/obo/PATO_0002362	increased tendency	http://purl.obolibrary.org/obo/PATO_0002361
decreased thickness	http://purl.obolibrary.org/obo/PATO_0000592	increased thickness	http://purl.obolibrary.org/obo/PATO_0000591
decreased threshold	http://purl.obolibrary.org/obo/PATO_0000708	increased threshold	http://purl.obolibrary.org/obo/PATO_0000706
decreased tolerance to	http://purl.obolibrary.org/obo/PATO_0002394	increased tolerance to	http://purl.obolibrary.org/obo/PATO_0002393
decreased tonicity	http://purl.obolibrary.org/obo/PATO_0001619	increased tonicity	http://purl.obolibrary.org/obo/PATO_0001618
decreased turgor	http://purl.obolibrary.org/obo/PATO_0001621	increased turgor	http://purl.obolibrary.org/obo/PATO_0001622
decreased variability	http://purl.obolibrary.org/obo/PATO_0001583	increased variability	http://purl.obolibrary.org/obo/PATO_0001584
decreased variability of color	http://purl.obolibrary.org/obo/PATO_0001613	increased variability of color	http://purl.obolibrary.org/obo/PATO_0001612
decreased variability of rate	http://purl.obolibrary.org/obo/PATO_0001588	increased variability of rate	http://purl.obolibrary.org/obo/PATO_0001587
decreased variability of size	http://purl.obolibrary.org/obo/PATO_0001957	increased variability of size	http://purl.obolibrary.org/obo/PATO_0001958
decreased variability of temperature	http://purl.obolibrary.org/obo/PATO_0001307	increased variability of temperature	http://purl.obolibrary.org/obo/PATO_0001308
decreased velocity	http://purl.obolibrary.org/obo/PATO_0002472	increased velocity	http://purl.obolibrary.org/obo/PATO_0002471
decreased viscosity	http://purl.obolibrary.org/obo/PATO_0001694	increased viscosity	http://purl.obolibrary.org/obo/PATO_0001693
decreased volume	http://purl.obolibrary.org/obo/PATO_0000596	increased volume	http://purl.obolibrary.org/obo/PATO_0000595
decreased waxiness	http://purl.obolibrary.org/obo/PATO_0002383	increased waxiness	http://purl.obolibrary.org/obo/PATO_0002382
decreased weight	http://purl.obolibrary.org/obo/PATO_0000583	increased weight	http://purl.obolibrary.org/obo/PATO_0000582
decreased wetness	http://purl.obolibrary.org/obo/PATO_0001826	increased wetness	http://purl.obolibrary.org/obo/PATO_0001825
decreased width	http://purl.obolibrary.org/obo/PATO_0000599	increased width	http://purl.obolibrary.org/obo/PATO_0000600
decreased width and length	http://purl.obolibrary.org/obo/PATO_0040030	increased width and length	http://purl.obolibrary.org/obo/PATO_0040031
defasciculated	http://purl.obolibrary.org/obo/PATO_0001959	fasciculated	http://purl.obolibrary.org/obo/PATO_0001861
degenerate	http://purl.obolibrary.org/obo/PATO_0000639	non-degenerate	http://purl.obolibrary.org/obo/PATO_0002038
dephosphorylated	http://purl.obolibrary.org/obo/PATO_0002263	phosphorylated	http://purl.obolibrary.org/obo/PATO_0002220
differentiated	http://purl.obolibrary.org/obo/PATO_0002099	undifferentiated	http://purl.obolibrary.org/obo/PATO_0002100
discriminate	http://purl.obolibrary.org/obo/PATO_0001319	indiscriminate	http://purl.obolibrary.org/obo/PATO_0001318
disorganized	http://purl.obolibrary.org/obo/PATO_0000937	organized	http://purl.obolibrary.org/obo/PATO_0000938
disoriented	http://purl.obolibrary.org/obo/PATO_0000613	oriented	http://purl.obolibrary.org/obo/PATO_0000614
distal orientation	http://purl.obolibrary.org/obo/PATO_0002494	dorsal orientation	http://purl.obolibrary.org/obo/PATO_0002495
distal to	http://purl.obolibrary.org/obo/PATO_0001234	dorsal to	http://purl.obolibrary.org/obo/PATO_0001233
distributed	http://purl.obolibrary.org/obo/PATO_0001566	undistributed	http://purl.obolibrary.org/obo/PATO_0001567
