	desaturated blue	PATO:0001266	saturated blue	PATO:0001265
	desaturated brown	PATO:0001268	saturated brown	PATO:0001267
	desaturated cyan	PATO:0001270	saturated cyan	PATO:0001269
	desaturated green	PATO:0001272	saturated green	PATO:0001271
	desaturated magenta	PATO:0001276	saturated magenta	PATO:0001275
	desaturated orange	PATO:0001278	saturated orange	PATO:0001277
	desaturated purple	PATO:0001282	saturated purple	PATO:0001281
	desaturated red	PATO:0001284	saturated red	PATO:0001283
	desaturated violet	PATO:0001703	saturated violet	PATO:0001702
	desaturated yellow	PATO:0001286	saturated yellow	PATO:0001285
	differentiated	PATO:0002099	undifferentiated	PATO:0002100
	discriminate	PATO:0001319	indiscriminate	PATO:0001318
	disorganized	PATO:0000937	organized	PATO:0000938
	disoriented	PATO:0000613	oriented	PATO:0000614
X	disposition	PATO:0001727	position	PATO:0000140
	distributed	PATO:0001566	undistributed	PATO:0001567
	dorsal orientation	PATO:0002495	ventral orientation	PATO:0002501
	dorsal to	PATO:0001233	ventral to	PATO:0001196
	down	PATO:0000365	up	PATO:0000370
	dry	PATO:0001824	wet	PATO:0001823
	dystonicity	PATO:0001814	tonicity	PATO:0001439
	edible	PATO:0002139	inedible	PATO:0002140
	efficient	PATO:0001678	inefficient	PATO:0001677
	elastic	PATO:0001171	inelastic	PATO:0001172
	elongated	PATO:0001154	shortened	PATO:0002364
	female fertile	PATO:0000888	female sterile	PATO:0000892
	female semi-fertile	PATO:0001760	female semi-sterile	PATO:0001763
	fertile	PATO:0000955	sterile	PATO:0000956
	flexible	PATO:0001544	inflexible	PATO:0001545
	fragile	PATO:0001362	non-fragile	PATO:0001716
	functional	PATO:0001510	non-functional	PATO:0001511
	glutinous	PATO:0001540	non-glutinous	PATO:0001541
	hard	PATO:0000386	soft	PATO:0000387
	high brightness	PATO:0000665	low brightness	PATO:0000327
	high saturation	PATO:0001229	low saturation	PATO:0000328
	hydrophilic	PATO:0001887	hydrophobic	PATO:0001885
	hyperelliptic	PATO:0002322	hypoelliptic	PATO:0002321
	hyperplastic	PATO:0000644	hypoplastic	PATO:0000645
	hyperresponsive to	PATO:0001192	hyporesponsive to	PATO:0001194
	hypertrophic growth	PATO:0001493	hypotrophic growth	PATO:0001494
	hypertrophic	PATO:0000584	hypotrophic	PATO:0000585
	ictal	PATO:0001913	non-ictal	PATO:0001914
	immature	PATO:0001501	mature	PATO:0001701
	immobile relative to	PATO:0040011	mobile relative to	PATO:0040010
	immobile	PATO:0000300	mobile	PATO:0000299
	imperforate	PATO:0001821	perforate	PATO:0002112
	impermeable	PATO:0000983	permeable	PATO:0000982
	inflated	PATO:0002376	uninflated	PATO:0002377
	insensitive toward	PATO:0000513	sensitive toward	PATO:0000516
	insoluble in	PATO:0001538	soluble in	PATO:0001537
	insufficient	PATO:0001628	sufficient	PATO:0001627
	insusceptible toward	PATO:0001153	susceptible toward	PATO:0001152
	invariant color	PATO:0001614	variant color	PATO:0001615
	invariant shape	PATO:0001931	variant shape	PATO:0001930
	invariant temperature	PATO:0001313	variant temperature	PATO:0001314
	invariant	PATO:0000438	variant	PATO:0001227
	irregular duration	PATO:0001417	regular duration	PATO:0001416
	irregular sleep pattern	PATO:0001700	regular sleep pattern	PATO:0001699
	irregular spatial pattern	PATO:0000330	regular spatial pattern	PATO:0000440
	lumenized	PATO:0001897	unlumenized	PATO:0001896
	magnetic	PATO:0001685	non-magnetic	PATO:0001686
	male fertile	PATO:0000891	male sterile	PATO:0000890
	male semi-fertile	PATO:0001761	male semi-sterile	PATO:0001762
	necessary (continuant)	PATO:0001635	unnecessary (continuant)	PATO:0001636
	necessary (occurrent)	PATO:0001638	unnecessary (occurrent)	PATO:0001639
	negative charge	PATO:0002196	positive charge	PATO:0002195
	non-porous	PATO:0000985	porous	PATO:0000984
	non-potable	PATO:0025001	potable	PATO:0025002
	non-progressive	PATO:0002026	progressive	PATO:0001818
	nonpolar polarity	PATO:0002188	polar polarity	PATO:0002187
